"","Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","richness","Flower_abundance","Frequency","freq_minute","visitatio_rate","visitation_rate_minute"
"160",2015,"El_pozo","Spartium junceum","A",28,0,0,23,51,51,1,2.8,0.003484,1,1250,5,1,0.004,8e-04
"161",2015,"El_pozo","Spartium junceum","B",20,0,0,16,36,36,1,4.25,0.00436,1,2715,7,1.4,0.00257826887661142,0.000515653775322284
"162",2017,"Esparragal","Cistus crispus","B",2,3,0,0,2,5,0.4,36,0.020005,1,20,1,0.333333333333333,0.05,0.0166666666666667
"163",2018,"Esparragal","Cistus crispus","A",3,0,1,1,5,5,1,12,0.006625,4,19.7142857142857,23,7.66666666666667,1.16666666666667,0.388888888888889
"164",2018,"Esparragal","Cistus crispus","B",2,2,1,0,3,5,0.6,26.5,0.01352,4,15,15,5,1,0.333333333333333
"165",2018,"Esparragal","Cistus crispus","C",3,1,0,0,3,4,0.75,26,0.00679333333333333,3,18.6,18,6,0.967741935483871,0.32258064516129
"166",2018,"Esparragal","Cistus crispus","D",3,0,1,3,7,7,1,32,0.01609,4,65,22,7.33333333333333,0.338461538461538,0.112820512820513
"167",2019,"Esparragal","Cistus crispus","A",3,2,0,0,3,5,0.6,31.5,0.014825,5,91.8571428571429,25,8.33333333333333,0.272161741835148,0.0907205806117159
"168",2019,"Esparragal","Cistus crispus","B",2,1,0,0,2,3,0.666666666666667,27,0.01271,5,78.3333333333333,16,5.33333333333333,0.204255319148936,0.0680851063829787
"169",2019,"Esparragal","Cistus crispus","C",6,1,0,0,6,7,0.857142857142857,32.6666666666667,0.0218633333333333,5,55.4,18,6,0.324909747292419,0.108303249097473
"170",2015,"Esparragal","Cistus salviifolius","A",9,3,2,3,14,17,0.823529411764706,11.75,0.0137475,4,10,6,1.2,0.6,0.12
"171",2017,"Esparragal","Cistus salviifolius","A",3,0,1,0,4,4,1,56.6666666666667,0.06867,1,11,2,0.666666666666667,0.181818181818182,0.0606060606060606
"172",2018,"Esparragal","Cistus salviifolius","A",2,0,1,0,3,3,1,31,0.041205,1,8,1,0.333333333333333,0.125,0.0416666666666667
"173",2018,"Esparragal","Cistus salviifolius","B",2,0,2,0,4,4,1,25.3333333333333,0.0267733333333333,1,12,2,0.666666666666667,0.166666666666667,0.0555555555555556
"174",2019,"Esparragal","Cistus salviifolius","A",1,0,1,0,2,2,1,46.5,0.049695,3,22.25,15,5,0.674157303370786,0.224719101123595
"175",2019,"Esparragal","Cistus salviifolius","B",3,0,2,0,5,5,1,57,0.0649133333333333,2,63.5,2,0.666666666666667,0.031496062992126,0.010498687664042
"176",2019,"Esparragal","Cistus salviifolius","C",3,0,1,0,4,4,1,53,0.0554033333333333,2,23,2,0.666666666666667,0.0869565217391304,0.0289855072463768
"177",2016,"Esparragal","Halimium calycinum","A",2,0,0,1,3,3,1,3.5,0.01413,2,25,2,0.4,0.08,0.016
"178",2017,"Esparragal","Halimium calycinum","A",5,0,0,0,5,5,1,3.66666666666667,0.00365,1,17.5,1,0.333333333333333,0.0571428571428571,0.019047619047619
"179",2017,"Esparragal","Halimium calycinum","B",7,0,0,1,8,8,1,2.66666666666667,0.00307333333333333,2,5,11,3.66666666666667,2.2,0.733333333333333
"180",2019,"Esparragal","Halimium calycinum","C",1,0,3,0,4,4,1,1,0.00471,2,11,2,0.666666666666667,0.181818181818182,0.0606060606060606
"181",2016,"Esparragal","Halimium halimifolium","A",6,1,0,0,6,7,0.857142857142857,21.3333333333333,0.00299,2,7.5,5,1,0.666666666666667,0.133333333333333
"182",2016,"Esparragal","Halimium halimifolium","B",6,0,0,0,6,6,1,25,0.0107866666666667,1,28,2,0.4,0.0714285714285714,0.0142857142857143
"183",2018,"Esparragal","Halimium halimifolium","A",4,0,0,0,4,4,1,32.6666666666667,0.0126366666666667,2,48.4,23,7.66666666666667,0.475206611570248,0.158402203856749
"184",2018,"Esparragal","Halimium halimifolium","B",4,0,0,0,4,4,1,18.3333333333333,0.00879,2,58.2,29,9.66666666666667,0.498281786941581,0.166093928980527
"185",2018,"Esparragal","Halimium halimifolium","C",4,0,0,0,4,4,1,28,0.0145566666666667,4,22.5,5,1.66666666666667,0.222222222222222,0.0740740740740741
"186",2018,"Esparragal","Halimium halimifolium","D",4,0,0,0,4,4,1,5.33333333333333,0.00411666666666667,1,95,15,5,0.157894736842105,0.0526315789473684
"187",2019,"Esparragal","Halimium halimifolium","A",3,2,0,0,3,5,0.6,20,0.010425,3,129.571428571429,23,7.66666666666667,0.177508269018743,0.0591694230062477
"188",2019,"Esparragal","Halimium halimifolium","B",4,1,0,0,4,5,0.8,20.5,0.005135,4,50.1428571428571,12,4,0.239316239316239,0.0797720797720798
"189",2019,"Esparragal","Halimium halimifolium","C",2,3,0,0,2,5,0.4,29.6666666666667,0.00522666666666667,2,42,7,2.33333333333333,0.166666666666667,0.0555555555555555
"190",2015,"Esparragal","Lavandula pedunculata","A",359,73,31,0,390,463,0.842332613390929,1.28571428571429,0.00051,1,29.5,1,0.2,0.0338983050847458,0.00677966101694915
"191",2015,"Esparragal","Lavandula pedunculata","B",258,81,45,48,351,432,0.8125,1.22222222222222,0.000181111111111111,NA,15,NA,NA,NA,NA
"192",2019,"Esparragal","Lavandula pedunculata","A",76,34,30,0,106,140,0.757142857142857,1,0.00053,1,75,8,2.66666666666667,0.106666666666667,0.0355555555555556
"193",2019,"Esparragal","Lavandula pedunculata","C",51,12,6,0,57,69,0.826086956521739,2.66666666666667,0.00116,1,250,5,1.66666666666667,0.02,0.00666666666666667
"194",2016,"Esparragal","Lavandula stoechas","A",95,6,4,0,99,105,0.942857142857143,1,0.000585,1,21,1,0.2,0.0476190476190476,0.00952380952380952
"195",2016,"Esparragal","Lavandula stoechas","B",46,6,16,0,62,68,0.911764705882353,1,0.000483333333333333,1,54,2,0.4,0.037037037037037,0.00740740740740741
"196",2015,"La_cunya","Cistus salviifolius","A",10,0,0,6,16,16,1,3.25,0.0043,2,10,6,1.2,0.6,0.12
"197",2015,"La_cunya","Cistus salviifolius","B",19,1,7,8,34,35,0.971428571428571,22,0.0231075,8,9,8,1.6,0.888888888888889,0.177777777777778
"198",2017,"La_cunya","Cistus salviifolius","A",5,0,1,0,6,6,1,66.6666666666667,0.07218,1,17,1,0.333333333333333,0.0588235294117647,0.0196078431372549
"199",2019,"La_cunya","Cistus salviifolius","A",0,0,1,0,1,1,1,42,0.04977,2,4,5,1.66666666666667,1.25,0.416666666666667
"200",2019,"La_cunya","Cistus salviifolius","B",2,0,1,0,3,3,1,38.3333333333333,0.03543,1,15,3,1,0.2,0.0666666666666667
"201",2015,"La_cunya","Lavandula pedunculata","A",271,93,56,0,327,420,0.778571428571429,2.5,0.000655,1,31.6666666666667,2,0.4,0.0631578947368421,0.0126315789473684
"202",2015,"La_cunya","Lavandula pedunculata","B",198,52,0,0,198,250,0.792,3.4,0.000536,2,67,2,0.4,0.0298507462686567,0.00597014925373134
"203",2016,"La_cunya","Lavandula pedunculata","A",75,18,24,0,99,117,0.846153846153846,2,0.000105,1,110,14,2.8,0.127272727272727,0.0254545454545455
"204",2018,"La_cunya","Lavandula pedunculata","A",82,22,38,0,120,142,0.845070422535211,2.33333333333333,0.00125666666666667,1,50,1,0.333333333333333,0.02,0.00666666666666667
"205",2019,"La_cunya","Lavandula pedunculata","A",117,10,2,0,119,129,0.922480620155039,2,0.00105,2,157.5,18,6,0.114285714285714,0.0380952380952381
"206",2019,"La_cunya","Lavandula pedunculata","B",57,14,8,0,65,79,0.822784810126582,2.33333333333333,0.00113666666666667,1,125,12,4,0.096,0.032
"207",2019,"La_cunya","Lavandula pedunculata","C",72,15,3,0,75,90,0.833333333333333,3,0.00134,2,100,14,4.66666666666667,0.14,0.0466666666666667
"208",2015,"La_cunya","Salvia rosmarinus","A",45,27,19,5,69,96,0.71875,3.66666666666667,0.000511666666666667,2,31,2,0.4,0.0645161290322581,0.0129032258064516
"209",2015,"La_cunya","Salvia rosmarinus","B",26,26,4,8,38,64,0.59375,2.5,0.000541666666666667,1,54,1,0.2,0.0185185185185185,0.0037037037037037
"210",2015,"La_rocina","Anchusa azurea","A",90,0,3,76,169,169,1,2.6,0.002618,4,249.5,28,5.6,0.112224448897796,0.0224448897795591
"211",2015,"La_rocina","Anchusa azurea","B",32,9,2,27,61,70,0.871428571428571,2,0.00307666666666667,6,546.25,10,2,0.0183066361556064,0.00366132723112128
"212",2018,"La_rocina","Cistus libanotis","B",3,0,0,0,3,3,1,21,0.02092,4,74,19,6.33333333333333,0.256756756756757,0.0855855855855856
"213",2018,"La_rocina","Cistus libanotis","C",3,0,0,0,3,3,1,6,0.00607666666666667,4,23,15,5,0.652173913043478,0.217391304347826
"214",2019,"La_rocina","Cistus libanotis","A",3,0,0,0,3,3,1,10.6666666666667,0.01221,3,58.75,10,3.33333333333333,0.170212765957447,0.0567375886524823
"215",2019,"La_rocina","Cistus libanotis","B",4,0,0,0,4,4,1,14.3333333333333,0.01079,3,52,14,4.66666666666667,0.269230769230769,0.0897435897435897
"216",2019,"La_rocina","Cistus libanotis","C",5,0,0,0,5,5,1,18.6666666666667,0.0151266666666667,1,35,6,2,0.171428571428571,0.0571428571428571
"217",2015,"La_rocina","Halimium calycinum","A",9,7,0,2,11,18,0.611111111111111,1.33333333333333,0.00179,3,21.1428571428571,12,2.4,0.567567567567568,0.113513513513514
"218",2018,"La_rocina","Halimium halimifolium","A",4,0,0,0,4,4,1,19.5,0.007455,2,65.5,12,4,0.183206106870229,0.0610687022900763
"219",2018,"La_rocina","Lavandula pedunculata","A",97,19,30,0,127,146,0.86986301369863,2.66666666666667,0.00164,1,540,16,5.33333333333333,0.0296296296296296,0.00987654320987654
"220",2018,"La_rocina","Lavandula pedunculata","B",82,17,33,0,115,132,0.871212121212121,2,0.00150666666666667,2,470,13,4.33333333333333,0.0276595744680851,0.00921985815602837
"221",2018,"La_rocina","Lavandula pedunculata","C",99,26,35,0,134,160,0.8375,3,0.00117666666666667,5,737.142857142857,39,13,0.052906976744186,0.0176356589147287
"222",2018,"La_rocina","Lavandula pedunculata","D",87,49,88,0,175,224,0.78125,2,0.00134666666666667,3,4000,47,15.6666666666667,0.01175,0.00391666666666667
"223",2015,"La_rocina","Salvia rosmarinus","A",39,7,0,26,65,72,0.902777777777778,2,0.00062,1,57,2,0.4,0.0350877192982456,0.00701754385964912
"224",2015,"Niebla","Asphodelus fistulosus","A",50,20,12,0,62,82,0.75609756097561,2.85714285714286,0.0205257142857143,NA,48,NA,NA,NA,NA
"225",2015,"Niebla","Asphodelus fistulosus","B",67,4,57,0,124,128,0.96875,3.28571428571429,0.0165142857142857,2,5.66666666666667,2,0.4,0.352941176470588,0.0705882352941176
"226",2016,"Niebla","Asphodelus fistulosus","A",5,3,5,0,10,13,0.769230769230769,4.66666666666667,0.0259433333333333,1,15.3333333333333,2,0.4,0.130434782608696,0.0260869565217391
"227",2016,"Niebla","Asphodelus fistulosus","B",5,0,12,0,17,17,1,3.66666666666667,0.0177566666666667,1,9,1,0.2,0.111111111111111,0.0222222222222222
"228",2016,"Niebla","Cistus crispus","A",4,1,0,0,4,5,0.8,39.3333333333333,0.0205166666666667,2,10,5,1,0.5,0.1
"229",2017,"Niebla","Cistus crispus","A",5,2,0,0,5,7,0.714285714285714,38.3333333333333,0.0211333333333333,2,19,6,2,0.315789473684211,0.105263157894737
"230",2017,"Niebla","Cistus crispus","B",2,5,0,0,2,7,0.285714285714286,12,0.00592,1,10,1,0.333333333333333,0.1,0.0333333333333333
"231",2018,"Niebla","Cistus crispus","A",2,0,1,1,4,4,1,36,0.01774,3,31.25,17,5.66666666666667,0.544,0.181333333333333
"232",2018,"Niebla","Cistus crispus","B",4,2,0,0,4,6,0.666666666666667,34.6666666666667,0.01649,2,24.3333333333333,15,5,0.616438356164384,0.205479452054795
"233",2018,"Niebla","Cistus crispus","C",4,1,0,0,4,5,0.8,38.6666666666667,0.02363,2,24,5,1.66666666666667,0.208333333333333,0.0694444444444444
"234",2018,"Niebla","Cistus crispus","D",3,2,0,0,3,5,0.6,39,0.02723,2,26,5,1.66666666666667,0.192307692307692,0.0641025641025641
"235",2019,"Niebla","Cistus crispus","C",2,1,2,0,4,5,0.8,42,0.013655,3,13,9,3,0.692307692307692,0.230769230769231
"236",2015,"Niebla","Cistus ladanifer","B",15,2,14,0,29,31,0.935483870967742,179,0.05577,6,11,10,2,0.909090909090909,0.181818181818182
"237",2015,"Niebla","Cistus ladanifer","C",3,0,2,0,5,5,1,733,0.22324,1,8,1,0.2,0.125,0.025
"238",2016,"Niebla","Cistus ladanifer","A",1,0,0,0,1,1,1,195,0.04808,2,10,3,0.6,0.3,0.06
"239",2018,"Niebla","Cistus ladanifer","A",1,0,2,0,3,3,1,408,0.111595,1,12,4,1.33333333333333,0.333333333333333,0.111111111111111
"240",2018,"Niebla","Cistus ladanifer","B",1,0,0,0,1,1,1,334,0.09403,2,6,8,2.66666666666667,1.33333333333333,0.444444444444444
"241",2018,"Niebla","Cistus ladanifer","C",2,0,0,0,2,2,1,606.5,0.154005,2,27,19,6.33333333333333,0.703703703703704,0.234567901234568
"242",2019,"Niebla","Cistus ladanifer","A",1,0,0,0,1,1,1,425,0.10473,3,14,11,3.66666666666667,0.785714285714286,0.261904761904762
"243",2019,"Niebla","Cistus ladanifer","B",0,0,2,0,2,2,1,339,0.06885,2,5,4,1.33333333333333,0.8,0.266666666666667
"244",2015,"Niebla","Cistus monspeliensis","A",8,1,1,0,9,10,0.9,3.75,0.00362,2,47,5,1,0.106382978723404,0.0212765957446809
"245",2016,"Niebla","Cistus monspeliensis","A",3,0,0,1,4,4,1,12.6666666666667,0.01467,2,15,2,0.4,0.133333333333333,0.0266666666666667
"246",2018,"Niebla","Cistus monspeliensis","A",9,0,0,0,9,9,1,12.6666666666667,0.0135133333333333,4,69.75,10,3.33333333333333,0.14336917562724,0.04778972520908
"247",2018,"Niebla","Cistus monspeliensis","B",4,0,0,1,5,5,1,13.3333333333333,0.01007,3,112.666666666667,4,1.33333333333333,0.0355029585798817,0.0118343195266272
"248",2018,"Niebla","Cistus monspeliensis","C",6,0,1,1,8,8,1,17.3333333333333,0.0188933333333333,4,173.25,12,4,0.0692640692640693,0.0230880230880231
"249",2019,"Niebla","Cistus monspeliensis","A",5,1,0,0,5,6,0.833333333333333,10.3333333333333,0.0110033333333333,1,200,1,0.333333333333333,0.005,0.00166666666666667
"250",2019,"Niebla","Cistus monspeliensis","C",3,0,1,0,4,4,1,9,0.0101733333333333,2,35,2,0.666666666666667,0.0571428571428571,0.019047619047619
"251",2017,"Niebla","Erophaca baetica","A",1,1,0,0,1,2,0.5,2,0.04584,1,40,1,0.333333333333333,0.025,0.00833333333333333
"252",2017,"Niebla","Erophaca baetica","B",5,0,0,0,5,5,1,2.33333333333333,0.04958,1,40,1,0.333333333333333,0.025,0.00833333333333333
"253",2016,"Niebla","Lavandula pedunculata","A",100,17,0,0,100,117,0.854700854700855,2,0.00066,3,97,6,1.2,0.0618556701030928,0.0123711340206186
"254",2016,"Niebla","Lavandula pedunculata","B",99,20,0,0,99,119,0.831932773109244,1.66666666666667,0.000546666666666667,1,20.3333333333333,2,0.4,0.0983606557377049,0.019672131147541
"255",2018,"Niebla","Lavandula pedunculata","A",79,21,49,0,128,149,0.859060402684564,1.33333333333333,9e-04,3,85,6,2,0.0705882352941176,0.0235294117647059
"256",2018,"Niebla","Lavandula pedunculata","B",78,44,3,0,81,125,0.648,2.33333333333333,0.00140666666666667,5,107.5,14,4.66666666666667,0.130232558139535,0.0434108527131783
"257",2018,"Niebla","Lavandula pedunculata","C",93,8,4,0,97,105,0.923809523809524,2,0.00091,3,57.3333333333333,8,2.66666666666667,0.13953488372093,0.0465116279069767
"258",2018,"Niebla","Lavandula pedunculata","D",153,17,2,0,155,172,0.901162790697674,1,0.000863333333333333,1,100,7,2.33333333333333,0.07,0.0233333333333333
"259",2019,"Niebla","Lavandula pedunculata","A",94,16,0,0,94,110,0.854545454545454,2,0.000376666666666667,3,116.666666666667,14,4.66666666666667,0.12,0.04
"260",2019,"Niebla","Lavandula pedunculata","B",108,19,0,0,108,127,0.850393700787402,1.66666666666667,0.00129333333333333,3,225,16,5.33333333333333,0.0711111111111111,0.0237037037037037
"261",2019,"Niebla","Lavandula pedunculata","C",73,24,0,0,73,97,0.752577319587629,1.66666666666667,0.00112333333333333,3,200,6,2,0.03,0.01
"262",2017,"Niebla","Lavandula stoechas","A",92,41,2,0,94,135,0.696296296296296,3,9e-04,1,100,1,0.333333333333333,0.01,0.00333333333333333
"263",2017,"Niebla","Lavandula stoechas","B",44,38,0,0,44,82,0.536585365853659,2.66666666666667,0.00063,2,150,5,1.66666666666667,0.0333333333333333,0.0111111111111111
"264",2018,"Niebla","Lavandula stoechas","A",102,3,0,0,102,105,0.971428571428571,1,0.00059,1,550,1,0.333333333333333,0.00181818181818182,0.000606060606060606
"265",2018,"Niebla","Lavandula stoechas","B",85,2,0,0,85,87,0.977011494252874,1,0.000543333333333333,1,280,3,1,0.0107142857142857,0.00357142857142857
"266",2015,"Niebla","Phlomis purpurea","A",29,0,0,0,29,29,1,1.71428571428571,0.00372,1,45,1,0.2,0.0222222222222222,0.00444444444444444
"267",2015,"Niebla","Phlomis purpurea","B",62,0,0,0,62,62,1,2.4,0.00367,NA,23,NA,NA,NA,NA
"268",2015,"Pinares_de_hinojos","Cistus libanotis","A",8,0,0,3,11,11,1,14.75,0.0063575,1,2,1,0.2,0.5,0.1
"269",2015,"Pinares_de_hinojos","Cistus libanotis","B",17,0,0,4,21,21,1,17.2,0.013082,1,74,4,0.8,0.0540540540540541,0.0108108108108108
"270",2016,"Pinares_de_hinojos","Cistus libanotis","A",5,0,1,0,6,6,1,21.3333333333333,0.0164866666666667,NA,37,NA,NA,NA,NA
"271",2016,"Pinares_de_hinojos","Cistus libanotis","B",5,0,0,0,5,5,1,7,0.00661666666666667,1,36,16,3.2,0.444444444444444,0.0888888888888889
"272",2018,"Pinares_de_hinojos","Cistus libanotis","A",5,0,0,0,5,5,1,14,0.0123566666666667,6,29,13,4.33333333333333,0.448275862068966,0.149425287356322
"273",2018,"Pinares_de_hinojos","Cistus libanotis","B",3,0,0,0,3,3,1,8,0.02306,4,44,12,4,0.272727272727273,0.0909090909090909
"274",2018,"Pinares_de_hinojos","Cistus libanotis","C",6,0,0,0,6,6,1,17.3333333333333,0.01544,4,32.25,14,4.66666666666667,0.434108527131783,0.144702842377261
"275",2018,"Pinares_de_hinojos","Cistus libanotis","D",5,0,1,0,6,6,1,15.6666666666667,0.0133266666666667,1,12,6,2,0.5,0.166666666666667
"276",2019,"Pinares_de_hinojos","Cistus libanotis","A",6,0,0,0,6,6,1,19.3333333333333,0.0100366666666667,3,33,10,3.33333333333333,0.303030303030303,0.101010101010101
"277",2019,"Pinares_de_hinojos","Cistus libanotis","B",6,0,0,0,6,6,1,18,0.0121966666666667,2,69,10,3.33333333333333,0.144927536231884,0.0483091787439614
"278",2019,"Pinares_de_hinojos","Cistus libanotis","C",6,1,0,0,6,7,0.857142857142857,15,0.0123733333333333,4,83,15,5,0.180722891566265,0.0602409638554217
"279",2015,"Pinares_de_hinojos","Cistus salviifolius","A",12,3,0,8,20,23,0.869565217391304,37.5,0.053585,2,8.66666666666667,2,0.4,0.230769230769231,0.0461538461538462
"280",2015,"Pinares_de_hinojos","Cistus salviifolius","B",13,0,0,2,15,15,1,31.6,0.036584,3,12,11,2.2,0.916666666666667,0.183333333333333
"281",2016,"Pinares_de_hinojos","Cistus salviifolius","A",2,0,0,0,2,2,1,38.5,0.047415,1,16,3,0.6,0.1875,0.0375
"282",2016,"Pinares_de_hinojos","Cistus salviifolius","B",2,0,0,0,2,2,1,24,0.026485,NA,21,NA,NA,NA,NA
"283",2018,"Pinares_de_hinojos","Cistus salviifolius","A",2,0,1,0,3,3,1,23.5,0.034745,1,12,4,1.33333333333333,0.333333333333333,0.111111111111111
"284",2018,"Pinares_de_hinojos","Cistus salviifolius","B",2,0,1,0,3,3,1,23,0.03458,1,10,3,1,0.3,0.1
"285",2017,"Pinares_de_hinojos","Halimium halimifolium","B",9,0,0,0,9,9,1,33,0.01264,1,2,1,0.333333333333333,0.5,0.166666666666667
"286",2018,"Pinares_de_hinojos","Halimium halimifolium","A",4,3,1,0,5,8,0.625,41.3333333333333,0.01804,1,13,5,1.66666666666667,0.384615384615385,0.128205128205128
"287",2018,"Pinares_de_hinojos","Halimium halimifolium","B",2,3,0,0,2,5,0.4,35,0.01393,4,26.5,7,2.33333333333333,0.264150943396226,0.0880503144654088
"288",2018,"Pinares_de_hinojos","Halimium halimifolium","C",5,2,2,0,7,9,0.777777777777778,19.3333333333333,0.00918,5,18.8333333333333,9,3,0.47787610619469,0.15929203539823
"289",2018,"Pinares_de_hinojos","Halimium halimifolium","D",2,2,0,0,2,4,0.5,18.5,0.00847,1,33,1,0.333333333333333,0.0303030303030303,0.0101010101010101
"290",2015,"Pino_del_cuervo","Asphodelus fistulosus","A",18,47,4,0,22,69,0.318840579710145,6,0.0120308571428571,4,16,5,1,0.3125,0.0625
"291",2015,"Pino_del_cuervo","Asphodelus fistulosus","B",3,36,0,0,3,39,0.0769230769230769,6,0,4,20.25,6,1.2,0.296296296296296,0.0592592592592593
"292",2016,"Pino_del_cuervo","Cistus crispus","A",6,0,2,0,8,8,1,21.6666666666667,0.0121833333333333,2,6.5,6,1.2,0.923076923076923,0.184615384615385
"293",2016,"Pino_del_cuervo","Cistus crispus","B",6,4,0,0,6,10,0.6,36.3333333333333,0.0168666666666667,2,6,6,1.2,1,0.2
"294",2018,"Pino_del_cuervo","Cistus crispus","A",8,0,1,0,9,9,1,44,0.0241666666666667,3,22.25,19,6.33333333333333,0.853932584269663,0.284644194756554
"295",2018,"Pino_del_cuervo","Cistus crispus","B",5,2,0,0,5,7,0.714285714285714,29.6666666666667,0.0144866666666667,2,11,5,1.66666666666667,0.454545454545455,0.151515151515151
"296",2018,"Pino_del_cuervo","Cistus crispus","C",3,1,0,1,4,5,0.8,43.6666666666667,0.0229733333333333,1,4,2,0.666666666666667,0.5,0.166666666666667
"297",2018,"Pino_del_cuervo","Cistus crispus","D",2,0,1,0,3,3,1,40.3333333333333,0.0177333333333333,1,12,2,0.666666666666667,0.166666666666667,0.0555555555555556
"298",2019,"Pino_del_cuervo","Cistus crispus","B",3,4,4,0,7,11,0.636363636363636,35.6666666666667,0.0121,1,28,25,8.33333333333333,0.892857142857143,0.297619047619048
"299",2019,"Pino_del_cuervo","Cistus crispus","C",5,1,0,0,5,6,0.833333333333333,27,0.0114166666666667,5,22.8888888888889,40,13.3333333333333,1.74757281553398,0.58252427184466
"300",2015,"Pino_del_cuervo","Cistus ladanifer","A",9,1,2,0,11,12,0.916666666666667,348.2,0.114244,1,2,1,0.2,0.5,0.1
"301",2015,"Pino_del_cuervo","Cistus ladanifer","B",10,0,6,0,16,16,1,360.666666666667,0.131103333333333,3,4,3,0.6,0.75,0.15
"302",2015,"Pino_del_cuervo","Cistus ladanifer","C",8,1,2,1,11,12,0.916666666666667,308,0.113835,1,2,1,0.2,0.5,0.1
"303",2016,"Pino_del_cuervo","Cistus ladanifer","A",1,0,0,0,1,1,1,929,0.27028,1,1.33333333333333,1,0.2,0.75,0.15
"304",2016,"Pino_del_cuervo","Cistus ladanifer","B",0,0,1,0,1,1,1,352,0.13131,NA,2.25,NA,NA,NA,NA
"305",2017,"Pino_del_cuervo","Cistus ladanifer","A",1,0,1,0,2,2,1,481.5,0.141975,2,2.5,2,0.666666666666667,0.8,0.266666666666667
"306",2017,"Pino_del_cuervo","Cistus ladanifer","B",3,0,2,0,5,5,1,601.5,0.22492,2,1,2,0.666666666666667,2,0.666666666666667
"307",2019,"Pino_del_cuervo","Cistus ladanifer","A",2,0,0,0,2,2,1,295.5,0.11339,1,21,5,1.66666666666667,0.238095238095238,0.0793650793650794
"308",2019,"Pino_del_cuervo","Cistus ladanifer","B",2,0,0,0,2,2,1,213.5,0.094445,1,23,1,0.333333333333333,0.0434782608695652,0.0144927536231884
"309",2016,"Pino_del_cuervo","Cistus salviifolius","A",0,0,1,0,1,1,1,15,0.01065,1,3,1,0.2,0.333333333333333,0.0666666666666667
"310",2017,"Pino_del_cuervo","Cistus salviifolius","A",2,1,3,0,5,6,0.833333333333333,52,0.050335,2,10.5,2,0.666666666666667,0.19047619047619,0.0634920634920635
"311",2015,"Pino_del_cuervo","Halimium calycinum","A",5,2,0,4,9,11,0.818181818181818,4,0.00366,2,24.5,2,0.4,0.0816326530612245,0.0163265306122449
"312",2015,"Pino_del_cuervo","Halimium calycinum","B",6,8,0,1,7,15,0.466666666666667,3.33333333333333,0.00306833333333333,1,11,1,0.2,0.0909090909090909,0.0181818181818182
"313",2018,"Pino_del_cuervo","Halimium halimifolium","A",2,0,0,0,2,2,1,24.5,0.01579,2,14,6,2,0.428571428571429,0.142857142857143
"314",2018,"Pino_del_cuervo","Halimium halimifolium","B",2,1,0,0,2,3,0.666666666666667,14,0.00244,1,16,3,1,0.1875,0.0625
"315",2018,"Pino_del_cuervo","Halimium halimifolium","C",4,0,0,0,4,4,1,26,0.0146333333333333,2,97,9,3,0.0927835051546392,0.0309278350515464
"316",2016,"Pino_del_cuervo","Lavandula stoechas","A",125,6,16,0,141,147,0.959183673469388,3.5,0.000415,1,82.3333333333333,3,0.6,0.0364372469635628,0.00728744939271255
"317",2016,"Pino_del_cuervo","Lavandula stoechas","B",87,10,11,0,98,108,0.907407407407407,2.33333333333333,0.00073,1,12,25,5,2.08333333333333,0.416666666666667
"318",2018,"Pino_del_cuervo","Lavandula stoechas","B",41,17,29,0,70,87,0.804597701149425,2.33333333333333,0.00117,1,620,5,1.66666666666667,0.00806451612903226,0.00268817204301075
"319",2019,"Pino_del_cuervo","Lavandula stoechas","A",73,6,63,0,136,142,0.957746478873239,2.66666666666667,0.00114333333333333,6,800,52,17.3333333333333,0.065,0.0216666666666667
"320",2019,"Pino_del_cuervo","Lavandula stoechas","B",15,3,37,0,52,55,0.945454545454545,2.33333333333333,0.00113666666666667,3,133.333333333333,28,9.33333333333333,0.21,0.07
"321",2019,"Pino_del_cuervo","Lavandula stoechas","C",44,4,69,0,113,117,0.965811965811966,2.66666666666667,0.00127333333333333,1,195,23,7.66666666666667,0.117948717948718,0.0393162393162393
"322",2017,"Urbanizaciones","Cistus crispus","A",1,2,2,0,3,5,0.6,24,0.012935,2,20,3,1,0.15,0.05
"323",2017,"Urbanizaciones","Cistus crispus","B",3,1,1,0,4,5,0.8,28,0.0127966666666667,3,13.75,6,2,0.436363636363636,0.145454545454545
"324",2018,"Urbanizaciones","Cistus crispus","A",7,0,0,0,7,7,1,31.6666666666667,0.01852,5,23.4285714285714,38,12.6666666666667,1.6219512195122,0.540650406504065
"325",2018,"Urbanizaciones","Cistus crispus","B",0,7,2,0,2,9,0.222222222222222,19,0.00982,7,29.6,51,17,1.72297297297297,0.574324324324324
"326",2018,"Urbanizaciones","Cistus crispus","C",5,4,0,0,5,9,0.555555555555556,16.3333333333333,0.0103733333333333,4,32.5714285714286,50,16.6666666666667,1.53508771929825,0.511695906432749
"327",2019,"Urbanizaciones","Cistus crispus","A",3,4,0,0,3,7,0.428571428571429,20,0.00486,2,90,14,4.66666666666667,0.155555555555556,0.0518518518518519
"328",2015,"Urbanizaciones","Cistus salviifolius","A",5,2,1,0,6,8,0.75,48.5,0.04298,1,8,10,2,1.25,0.25
"329",2015,"Urbanizaciones","Cistus salviifolius","B",18,0,3,2,23,23,1,46,0.05639,1,6.5,1,0.2,0.153846153846154,0.0307692307692308
