"","Plant_gen_sp","Site_ID","cv_1_fruit","cv_1_seed","cv_1_visitation","log_VR_time","log_VR_effort","syncLM_time","syncLM_effort","av_sync_time","av_sync_effort","S_total"
"1","Cistus crispus","Aznalcazar",4.8189675367095,20.0118912861205,1.5351842603006,0.919674829858396,0.0402738991379399,0.452618350282184,0.160973188402236,0.659269071567995,0.410073369127238,9
"2","Cistus crispus","Bonares",NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"3","Cistus crispus","Convento_de_la_luz",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"4","Cistus crispus","El_pozo",16.3279828218476,8.74397897711174,2.02081207651525,1.05860695405441,0.508224842065933,0.289940828402367,0.16,0.647058823529412,0.571428571428571,11
"5","Cistus crispus","Esparragal",2.88560799098677,5.07892422287722,0.932166505949334,1.32247242904917,1.06296123356409,0.409472419133753,0.268358198735371,0.625347473270403,0.512324203485462,16
"6","Cistus crispus","Niebla",4.93243827821708,4.83138130088211,1.89255983088872,0.672239228691696,0.591647943920075,0.310596388582058,0.277651969036058,0.477788356068993,0.44151648387235,10
"7","Cistus crispus","Pino_del_cuervo",11.1785473365169,6.08257149896096,1.75143129232309,0.472214167038401,0.36583984267163,0.355964669205779,0.322860574532655,0.514650342223584,0.585148019175713,10
"8","Cistus crispus","Urbanizaciones",4.1970979244755,7.53086317329911,0.851409083982167,1.56397553835734,1.20682587330834,0.818375694623942,0.445131493180469,0.912328472923679,0.588348393904361,12
"9","Cistus crispus","Villamanrique_este",9.16146825952593,6.78435861261514,1.36303366070658,0.776849777065322,0.1913525001581,0.404436377177979,0.203934403512557,0.660382009995951,0.365317795371316,13
"10","Cistus crispus","Villamanrique_sur",6.57949299602091,3.48299361736337,1.34025211646387,1.54658069379016,1.27194934735546,0.4076674935435,0.284569089595339,0.522066801620133,0.219947073944673,16
"11","Cistus ladanifer","Aznalcazar",17.0519114937159,2.3651687630389,1.68691669106482,0.625450027494453,0.0288958384321851,0.181728500412576,0.0806703352724745,0.430336525330115,0.217452641913672,16
"12","Cistus ladanifer","Bonares",56.5803263805832,2.94336408976794,1.01146347732667,-1.1999647829284,-0.0243173076507065,0.0823955936333116,0.281221766447494,-0.412686884219823,0.130065710354846,5
"13","Cistus ladanifer","Convento_de_la_luz",8.94892917243919,1.5985313940677,1.40709011465444,0.0631789016215315,-2.21515079360437,0.15412039904045,0.0152070309289144,0.0899123907442159,-0.484397153534296,9
"14","Cistus ladanifer","El_pozo",NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"15","Cistus ladanifer","Niebla",61.5000000000001,3.0436516649631,1.62019274290456,0.0693267055745118,0.213743819074454,0.089595594039587,0.115909188121492,0.180025994205425,0.281457553202507,15
"16","Cistus ladanifer","Pino_del_cuervo",35.5000000000001,2.4934729305542,0.901057874199092,0.0256424306133374,-0.489548225318706,0.10994442804734,0.0792360943531102,-0.473265418422509,-0.494157050925195,10
"17","Cistus ladanifer","Villamanrique_este",Inf,1.59715781794968,4.7477169593954,-4.20469261939097,-4.20469261939097,0.00591715976331365,0.00591715976331365,-1,-1,3
"18","Cistus ladanifer","Villamanrique_sur",3.15322070095872,1.66548951763491,1.5339615614895,0.164621979694554,-0.653720260580488,0.218395937341327,0.122996309078606,0.496002816680817,0.158630704040201,6
"19","Cistus salviifolius","Aznalcazar",17.995280599589,2.30278602552259,1.10524562289494,0.188707700596461,0.523871663246647,0.142160759529249,0.242396267431296,0.21533895302652,0.426456947108943,12
"20","Cistus salviifolius","Bonares",12.6806693691762,2.08276239062172,0.712294906519991,0.335459778360361,0.186313745317553,0.186967918622476,0.130433675194848,0.220360423418926,0.0834968591319964,20
