"","Pollinator_gen_sp","Site_ID","Collector","Day","Month","Year","time_obs","Time","Round","Weather","Temperature","Humidity","Wind","Notes","Plant_genus","Plant_species","Plant_individual","Orden","Out","Notes_pollinators","Pollinator_id","Pollinator_genus","Pollinator_species","Subespecies","Pollinator_sex","morphospecie","Det","Frequency","Flower_abundance","Plant_gen_sp","plant_id"
"1","Andrena agilissima","Urbanizaciones","Curro",22,5,2018,3,"12:00:00",9,"sol_y_nubes",25,45,"sin_viento",NA,"Halimium","halimifolium","HHA","Hymenoptera","focal",NA,NA,"Andrena","agilissima",NA,"female",NA,NA,2,19,"Halimium halimifolium","A"
"2","Andrena agilissima","Convento_de_la_luz","Mary",22,3,2017,3,"14:40:00",3,"sol_y_nubes",20,40,"fuerte",NA,"Cistus","ladanifer","CLA","Hymenoptera","focal",NA,NA,"Andrena","agilissima",NA,"female",NA,NA,1,6,"Cistus ladanifer","A"
"3","Andrena agilissima","Urbanizaciones","Curro",22,5,2018,3,"12:00:00",9,"sol_y_nubes",25,45,"sin_viento",NA,"Cistus","crispus","CCA","Hymenoptera","focal",NA,NA,"Andrena","agilissima",NA,"female",NA,NA,3,8,"Cistus crispus","A"
"4","Andrena angustior","Convento_de_la_luz","Oscar",29,3,2015,5,"10:40:00",3,"sol",17,45,"suave",NA,"Cistus","salviifolius","C","Hymenoptera","focal",NA,"BF285","Andrena","angustior",NA,"female",NA,NA,2,6,"Cistus salviifolius","C"
"5","Andrena cinerea","Urbanizaciones","Curro",26,4,2018,3,"14:00:00",6,NA,30,25,"moderado",NA,"Cistus","crispus","CCA","Hymenoptera","focal",NA,NA,"Andrena","cinerea","elliptica","female",NA,NA,1,9,"Cistus crispus","A"
"6","Andrena cinerea","Esparragal","Oscar",20,4,2015,5,"11:40:00",5,"sol",20,34,"moderado",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"BF65","Andrena","cinerea",NA,"female",NA,NA,1,7,"Cistus salviifolius","A"
"7","Andrena cinerea","Convento_de_la_luz","Curro",22,5,2018,3,"10:50:00",9,"nubes",24,40,"sin_viento",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,"BF1180","Andrena","cinerea","elliptica","female",NA,NA,1,2,"Cistus crispus","B"
"8","Andrena cinerea","La_rocina","Curro",14,3,2019,3,"10:44:00",3,"sol",17,60,"fuerte",NA,"Salvia","rosmarinus","A","Hymenoptera","focal",NA,"BF1383","Andrena","cinerea","elliptica","female",NA,NA,3,100,"Salvia rosmarinus","A"
"9","Andrena flavipes","Villamanrique_sur","Oscar",27,3,2015,5,"16:10:00",3,"sol",27,31,"suave",NA,"Halimium","calycinum","B","Hymenoptera","focal",NA,"PERDIDO","Andrena","flavipes",NA,"female",NA,NA,1,11,"Halimium calycinum","B"
"10","Andrena flavipes","Bonares","Patrick & Crona",27,3,2018,3,"10:40:00",4,"sol",14,63,"sin_viento",NA,"Cistus","salviifolius","CSC","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,3,20,"Cistus salviifolius","C"
"11","Andrena flavipes","Urbanizaciones","Oscar",29,3,2015,5,"12:10:00",3,"sol",22,35,"suave",NA,"Lavandula","stoechas","A","Hymenoptera","focal",NA,"BF283","Andrena","flavipes",NA,"female",NA,NA,2,43,"Lavandula stoechas","A"
"12","Andrena flavipes","Esparragal","Curro",6,6,2018,3,"11:00:00",10,"sol_y_nubes",22,46,"suave",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,1,12,"Cistus crispus","B"
"13","Andrena flavipes","Aznalcazar","Oscar",28,4,2015,5,"10:35:00",5,"sol",18,46,"sin_viento",NA,"Cistus","crispus","A","Hymenoptera","focal","Foto","BF142","Andrena","flavipes",NA,"female",NA,NA,1,7,"Cistus crispus","A"
"14","Andrena flavipes","Villamanrique_este","Oscar",28,4,2015,5,"15:25:00",5,"sol",28,29,"sin_viento",NA,"Cistus","crispus","A","Hymenoptera","focal",NA,"not_captured","Andrena","flavipes",NA,"female",NA,NA,1,NA,"Cistus crispus","A"
"15","Andrena flavipes","El_pozo","Curro",27,3,2019,3,"10:00:00",4,"sol",17,35,"fuerte",NA,"Cistus","ladanifer","B","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,4,5,"Cistus ladanifer","B"
"16","Andrena flavipes","Convento_de_la_luz","Oscar",5,3,2016,5,"12:20:00",1,"sol",23,32,"suave","foto","Cistus","ladanifer","A","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,1,18,"Cistus ladanifer","A"
"17","Andrena flavipes","Convento_de_la_luz","Curro",30,4,2019,3,"12:30:00",6,"sol",30,32,"suave",NA,"Halimium","halimifolium","B","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,2,105,"Halimium halimifolium","B"
"18","Andrena flavipes","Urbanizaciones","Curro",26,4,2018,3,"14:00:00",6,"sol_y_nubes",30,25,"moderado",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,4,15,"Cistus crispus","B"
"19","Andrena flavipes","Niebla","Curro",7,5,2019,3,"14:00:00",7,"sol",28,30,"suave",NA,"Cistus","crispus","A","Hymenoptera","focal",NA,"BF1408","Andrena","flavipes",NA,"female",NA,NA,5,13,"Cistus crispus","A"
"20","Andrena flavipes","Esparragal","Curro",29,5,2018,3,"11:30:00",9,"sol_y_nubes",20,47,"moderado",NA,"Cistus","crispus","CCD","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,5,26,"Cistus crispus","D"
"21","Andrena flavipes","Esparragal","Curro",6,6,2018,3,"11:00:00",10,"sol_y_nubes",22,46,"suave",NA,"Cistus","crispus","CCA","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,3,8,"Cistus crispus","A"
"22","Andrena flavipes","Convento_de_la_luz","Curro",13,3,2019,3,"12:30:00",3,"sol",21,38,"suave",NA,"Cistus","ladanifer","C","Hymenoptera","focal",NA,"BF1322","Andrena","flavipes",NA,"female",NA,NA,3,13,"Cistus ladanifer","C"
"23","Andrena flavipes","Aznalcazar","Curro",17,5,2018,3,"10:30:00",8,"sol_y_nubes",25,34,"suave",NA,"Cistus","crispus","CCD","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,5,38,"Cistus crispus","D"
"24","Andrena flavipes","Pino_del_cuervo","Curro",14,2,2019,3,"13:30:00",1,"sol",18,48,"moderado",NA,"Salvia","rosmarinus","A","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,2,500,"Salvia rosmarinus","A"
"25","Andrena flavipes","Urbanizaciones","Curro",6,5,2019,3,"12:30:00",7,"sol",27,30,"suave",NA,"Cistus","crispus","B","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,8,87,"Cistus crispus","B"
"26","Andrena flavipes","Esparragal","Curro",14,5,2019,3,"10:30:00",8,"sol",24,35,"moderado",NA,"Cistus","crispus","A","Hymenoptera","focal",NA,NA,"Andrena","flavipes",NA,"female",NA,NA,2,16,"Cistus crispus","A"
"27","Andrena hispania","Pino_del_cuervo","Mary",7,4,2017,3,"12:25:00",4,"sol",20.9,36,"moderado",NA,"Cistus","ladanifer","CLA","Hymenoptera","focal",NA,NA,"Andrena","hispania",NA,"female",NA,NA,1,2,"Cistus ladanifer","A"
"28","Andrena hispania","Villamanrique_sur","Oscar",15,3,2016,5,"13:30:00",2,"sol_y_nubes",21,42,"suave",NA,"Salvia","rosmarinus","A","Hymenoptera","focal",NA,"no_captured","Andrena","hispania",NA,"male",NA,NA,1,2000,"Salvia rosmarinus","A"
"29","Andrena hispania","La_rocina","Oscar",18,4,2016,5,"15:30:00",4,"sol",22,NA,"moderado",NA,"Lavandula","pedunculata","B","Hymenoptera","focal",NA,NA,"Andrena","hispania",NA,"male",NA,NA,3,NA,"Lavandula pedunculata","B"
"30","Andrena hispania","Urbanizaciones","Curro",22,5,2018,3,"12:00:00",9,"sol_y_nubes",25,45,"sin_viento",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,NA,"Andrena","hispania",NA,"female",NA,NA,5,10,"Cistus crispus","B"
"31","Andrena hispania","El_pozo","Oscar",17,3,2016,5,"11:00:00",2,"sol",17,55,"sin_viento",NA,"Cistus","ladanifer","B","Hymenoptera","focal",NA,NA,"Andrena","hispania",NA,"male",NA,NA,1,NA,"Cistus ladanifer","B"
"32","Andrena hispania","Villamanrique_sur","Curro",23,5,2018,3,"11:00:00",9,"nubes",25,49,"sin_viento",NA,"Cistus","crispus","CCD","Hymenoptera","focal",NA,NA,"Andrena","hispania",NA,"female",NA,NA,9,22,"Cistus crispus","D"
"33","Andrena hispania","El_pozo","Oscar",29,3,2015,5,"13:30:00",3,"sol",25,35,"suave",NA,"Cistus","ladanifer","A","Hymenoptera","focal",NA,"not_captured","Andrena","hispania",NA,"female",NA,NA,1,3,"Cistus ladanifer","A"
"34","Andrena hispania","El_pozo","Oscar",29,3,2015,5,"13:30:00",3,"sol",25,35,"suave",NA,"Cistus","ladanifer","B","Hymenoptera","focal",NA,"PERDIDO","Andrena","hispania",NA,"female",NA,NA,1,4,"Cistus ladanifer","B"
"35","Andrena hispania","Villamanrique_sur","Oscar",10,4,2015,5,"16:10:00",4,"sol",23,50,"sin_viento",NA,"Cistus","salviifolius","B","Hymenoptera","focal",NA,"not_captured","Andrena","hispania",NA,"female",NA,NA,1,16,"Cistus salviifolius","B"
"36","Andrena hispania","El_pozo","Oscar",13,4,2015,5,"15:00:00",4,"sol",26,38,"fuerte","No encontrada","Cistus","ladanifer","A","Hymenoptera","focal",NA,"not_captured","Andrena","hispania",NA,"female",NA,NA,1,NA,"Cistus ladanifer","A"
"37","Andrena hispania","El_pozo","Oscar",13,4,2015,5,"15:00:00",4,"sol",26,38,"fuerte","No encontrada","Cistus","ladanifer","B","Hymenoptera","focal",NA,"PERDIDO","Andrena","hispania",NA,"female",NA,NA,1,NA,"Cistus ladanifer","B"
"38","Andrena humilis","Esparragal","Oscar",13,3,2015,5,"15:00:00",2,"sol",18,39,"suave",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"BF274","Andrena","humilis",NA,"female",NA,NA,3,7,"Cistus salviifolius","A"
"39","Andrena sp","Convento_de_la_luz","Mary",8,3,2017,3,"12:15:00",2,"sol",24.6,40,"suave",NA,"Teucrium","fruticans","TFB","Hymenoptera","focal",NA,"BF1049","Andrena","sp",NA,"female",NA,NA,5,80,"Teucrium fruticans","B"
"40","Andrena sp","Villamanrique_este","Mary",20,3,2017,3,"12:15:00",3,"sol",21,43,"suave",NA,"Cistus","salviifolius","CSA","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,1,8,"Cistus salviifolius","A"
"41","Andrena morio","Esparragal","Curro",4,5,2017,3,"12:15:00",6,"nubes",23.3,49,"fuerte",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,NA,"Andrena","morio",NA,"unknown",NA,NA,1,20,"Cistus crispus","B"
"42","Andrena nigroaenaea","Esparragal","Oscar",13,3,2015,5,"15:00:00",2,"sol",18,39,"suave",NA,"Cistus","salviifolius","B","Hymenoptera","focal",NA,"BF275","Andrena","nigroaenaea",NA,"female",NA,NA,2,3,"Cistus salviifolius","B"
"43","Andrena nigroaenaea","Urbanizaciones","Curro",8,5,2017,3,"12:20:00",6,"sol",27,30,"moderado",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,NA,"Andrena","nigroaenaea",NA,"unknown",NA,NA,2,10,"Cistus crispus","B"
"44","Andrena nigroaenaea","Bonares","Curro",23,4,2018,3,"11:15:00",6,"nubes",21,60,"sin_viento",NA,"Lavandula","stoechas","LSA","Hymenoptera","focal",NA,"BF1178","Andrena","nigroaenaea",NA,"female",NA,NA,5,NA,"Lavandula stoechas","A"
"45","Andrena nigroaenaea","Villamanrique_sur","Curro",22,4,2019,3,"12:00:00",6,"sol",23,45,"sin_viento",NA,"Cistus","crispus","C","Hymenoptera","focal",NA,NA,"Andrena","nigroaenaea",NA,"female",NA,NA,3,13,"Cistus crispus","C"
"46","Andrena nigroaenaea","Pino_del_cuervo","Curro",14,2,2019,3,"13:30:00",1,"sol",18,48,"moderado",NA,"Salvia","rosmarinus","A","Hymenoptera","focal",NA,"BF1315","Andrena","nigroaenaea",NA,"unknown",NA,NA,1,NA,"Salvia rosmarinus","A"
"47","Andrena nigroaenaea","Villamanrique_este","Oscar",28,4,2015,5,"15:25:00",5,"sol",28,29,"sin_viento",NA,"Cistus","crispus","A","Hymenoptera","focal","Foto","not_captured","Andrena","nigroaenaea",NA,"female",NA,NA,1,12,"Cistus crispus","A"
"48","Andrena nigroaenaea","Urbanizaciones","Oscar",29,3,2015,5,"12:10:00",3,"sol",22,35,"suave",NA,"Halimium","calycinum","C","Hymenoptera","focal",NA,"not_captured","Andrena","nigroaenaea",NA,"female",NA,NA,1,NA,"Halimium calycinum","C"
"49","Andrena nigroaenaea","Aznalcazar","Oscar",2,3,2016,5,"11:00:00",1,"sol",17,46,"suave",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"captured","Andrena","nigroaenaea",NA,"female",NA,NA,1,3,"Cistus salviifolius","A"
"50","Andrena sp","Urbanizaciones","Mary",8,3,2017,3,"13:45:00",2,"sol",24.1,40,"fuerte",NA,"Salvia","rosmarinus","ROB","Hymenoptera","focal",NA,"BF1053","Andrena","sp",NA,"male",NA,NA,5,540,"Salvia rosmarinus","B"
"51","Andrena ovatula","Convento_de_la_luz","Oscar",13,3,2015,5,"12:30:00",2,"sol",21,32,"sin_viento",NA,"Teucrium","fruticans","B","Hymenoptera","focal",NA,"BF23","Andrena","ovatula",NA,"female",NA,NA,1,34,"Teucrium fruticans","B"
"52","Andrena ovatula","Villamanrique_sur","Oscar",29,3,2016,5,"13:00:00",3,"sol",22,42,"moderado","foto","Salvia","rosmarinus","B","Hymenoptera","focal",NA,NA,"Andrena","ovatula",NA,"female",NA,NA,1,210,"Salvia rosmarinus","B"
"53","Andrena rhyssonota","Aznalcazar","Oscar",16,3,2016,5,"10:00:00",2,"sol",15,70,"suave",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"BF1290","Andrena","rhyssonota","flava","male",NA,NA,3,5,"Cistus salviifolius","A"
"54","Andrena rhyssonota","Aznalcazar","Oscar",16,3,2016,5,"10:00:00",2,"sol",15,70,"suave",NA,"Cistus","salviifolius","B","Hymenoptera","focal",NA,"BF1289","Andrena","rhyssonota","flava","male",NA,NA,2,6,"Cistus salviifolius","B"
"55","Andrena rhyssonota","Aznalcazar","Oscar",29,3,2016,5,"11:00:00",3,"sol",16.5,60,"suave",NA,"Cistus","monspeliensis","A","Hymenoptera","focal",NA,"BF1282","Andrena","rhyssonota","flava","male",NA,NA,1,3,"Cistus monspeliensis","A"
"56","Andrena rhyssonota","Aznalcazar","Oscar",29,3,2016,5,"11:00:00",3,"sol",16.5,60,"suave",NA,"Cistus","crispus","A","Hymenoptera","focal",NA,"BF1292","Andrena","rhyssonota","flava","male",NA,NA,1,11,"Cistus crispus","A"
"57","Andrena rhyssonota","El_pozo","Oscar",13,4,2015,5,"15:00:00",4,"sol",26,38,"suave",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"BF286","Andrena","rhyssonota","flava","male",NA,NA,3,7,"Cistus salviifolius","A"
"58","Andrena rhyssonota","El_pozo","Oscar",13,4,2015,5,"15:00:00",4,"sol",26,38,"suave",NA,"Cistus","salviifolius","B","Hymenoptera","focal",NA,"BF287","Andrena","rhyssonota","flava","male",NA,NA,1,9,"Cistus salviifolius","B"
"59","Andrena rhyssonota","La_rocina","Mary",2,3,2017,3,"14:45:00",2,"sol",21.2,48,"suave",NA,"Salvia","rosmarinus","ROB","Hymenoptera","focal",NA,NA,"Andrena","rhyssonota","flava","unknown",NA,NA,3,280,"Salvia rosmarinus","B"
"60","Andrena rhyssonota","Niebla","Mary",22,3,2017,3,"10:40:00",3,"sol_y_nubes",18,47,"fuerte",NA,"Cistus","monspeliensis","CMA","Hymenoptera","focal",NA,"BF1101","Andrena","rhyssonota","flava","male",NA,NA,1,29,"Cistus monspeliensis","A"
"61","Andrena rhyssonota","Aznalcazar","Oscar",29,3,2016,5,"11:00:00",3,"sol",16.5,60,"suave",NA,"Cistus","crispus","B","Hymenoptera","focal",NA,NA,"Andrena","rhyssonota","flava","male",NA,NA,1,8,"Cistus crispus","B"
"62","Andrena rhyssonota","Aznalcazar","Mary",1,3,2017,3,"11:00:00",2,"sol",16.3,55,"sin_viento",NA,"Teucrium","fruticans","TFA","Hymenoptera","focal",NA,"BF1119","Andrena","rhyssonota","flava","male",NA,NA,1,50,"Teucrium fruticans","A"
"63","Andrena rhyssonota","Aznalcazar","Mary",21,3,2017,3,"10:45:00",3,"sol",18,45,"moderado",NA,"Cistus","ladanifer","CLA","Hymenoptera","focal",NA,"BF1117","Andrena","rhyssonota","flava","male",NA,NA,1,1,"Cistus ladanifer","A"
"64","Andrena sardoa","Niebla","Oscar",17,3,2016,5,"17:00:00",2,"sol",25,25,"moderado",NA,"Asphodelus","fistulosus",NA,"Hymenoptera","focal",NA,NA,"Andrena","sardoa",NA,"female",NA,NA,4,30,"Asphodelus fistulosus",NA
"65","Andrena sardoa","Niebla","Oscar",17,3,2016,5,"17:00:00",2,"sol",25,25,"moderado",NA,"Asphodelus","fistulosus","B","Hymenoptera","focal",NA,"no_captured","Andrena","sardoa",NA,"female",NA,NA,1,4,"Asphodelus fistulosus","B"
"66","Andrena sp","Niebla","Patrick & Crona",23,2,2018,3,"16:30:00",2,"sol",18,31,"fuerte",NA,"Asphodelus","fistulosus","AFE","Hymenoptera","focal",NA,"1","Andrena","sp",NA,"female",NA,NA,4,17,"Asphodelus fistulosus","E"
"67","Andrena sp","La_rocina","Patrick & Crona",12,3,2018,3,"13:00:00",3,"sol_y_nubes",17.5,46,"moderado",NA,"Salvia","rosmarinus","ROA","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,10,200,"Salvia rosmarinus","A"
"68","Andrena sp","Niebla","Oscar",21,4,2016,5,"11:10:00",4,"nubes",16,NA,"suave",NA,"Cistus","monspeliensis","A","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,1,NA,"Cistus monspeliensis","A"
"69","Andrena sp","La_rocina","Mary",17,2,2017,3,"11:00:00",1,"sol",17,67,"sin_viento",NA,"Salvia","rosmarinus","ROA","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,1,210,"Salvia rosmarinus","A"
"70","Andrena sp","La_rocina","Mary",17,2,2017,3,"11:00:00",1,"sol",17,67,"sin_viento",NA,"Salvia","rosmarinus","ROB","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,1,100,"Salvia rosmarinus","B"
"71","Andrena sp","La_rocina","Mary",2,3,2017,3,"14:45:00",2,"sol",21.2,48,"suave",NA,"Salvia","rosmarinus","ROA","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,2,300,"Salvia rosmarinus","A"
"72","Andrena sp","La_rocina","Mary",2,3,2017,3,"14:45:00",2,"sol",21.2,48,"suave",NA,"Salvia","rosmarinus","ROC","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,3,110,"Salvia rosmarinus","C"
"73","Andrena sp","La_rocina","Mary",23,3,2017,3,"11:30:00",3,"sol_y_nubes",14.3,40,"fuerte",NA,"Halimium","calycinum","HCA","Hymenoptera","focal",NA,"*","Andrena","sp",NA,"unknown",NA,NA,1,8,"Halimium calycinum","A"
"74","Andrena sp","Niebla","Curro",8,5,2017,3,"15:05:00",6,"sol",30,24,"suave",NA,"Cistus","crispus","CCB","Hymenoptera","focal",NA,"PERDIDO","Andrena","sp",NA,"unknown",NA,NA,1,10,"Cistus crispus","B"
"75","Andrena sp","El_pozo","Patrick & Crona",21,2,2018,3,"15:45:00",2,"sol",NA,NA,"moderado",NA,"Salvia","rosmarinus","ROB","Hymenoptera","focal",NA,"168","Andrena","sp",NA,"male",NA,NA,1,100,"Salvia rosmarinus","B"
"76","Andrena sp","Villamanrique_sur","Oscar",2,3,2016,5,"12:45:00",1,"sol",20,45,"sin_viento",NA,"Salvia","rosmarinus","A","Hymenoptera","focal",NA,"captured","Andrena","sp",NA,"female",NA,NA,1,3000,"Salvia rosmarinus","A"
"77","Andrena sp","Bonares","Mary",22,3,2017,3,"12:20:00",3,"sol_y_nubes",14,50,"fuerte",NA,"Cistus","salviifolius","CSB","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,1,27,"Cistus salviifolius","B"
"78","Andrena sp","El_pozo","Patrick & Crona",21,2,2018,3,"15:45:00",2,"sol",NA,NA,"moderado",NA,"Salvia","rosmarinus","ROB","Hymenoptera","focal",NA,"Mismo 168","Andrena","sp",NA,"male",NA,NA,15,100,"Salvia rosmarinus","B"
"79","Andrena sp","Villamanrique_sur","Patrick & Crona",22,2,2018,3,"12:10:00",2,"sol",NA,NA,"suave",NA,"Salvia","rosmarinus","ROA","Hymenoptera","focal",NA,NA,"Andrena","sp",NA,"unknown",NA,NA,2,100,"Salvia rosmarinus","A"
"80","Andrena sp","Pino_del_cuervo","Curro",1,5,2019,3,"14:30:00",7,"sol",29,44,"moderado",NA,"Lavandula","stoechas","A","Hymenoptera","focal",NA,"BF1406","Andrena","sp",NA,"female","pequeña y gris",NA,4,200,"Lavandula stoechas","A"
"81","Andrena sp","El_pozo","Oscar",16,3,2015,5,"16:50:00",2,"sol",18,36,"suave",NA,"Cistus","ladanifer","A","Hymenoptera","focal",NA,"not_captured","Andrena","sp",NA,"male",NA,NA,1,6,"Cistus ladanifer","A"
"82","Andrena sp","Villamanrique_sur","Oscar",10,4,2015,5,"16:10:00",4,"sol",23,50,"sin_viento",NA,"Cistus","salviifolius","A","Hymenoptera","focal",NA,"captured","Andrena","sp",NA,"female",NA,NA,1,20,"Cistus salviifolius","A"
"83","Andrena sp","Pino_del_cuervo","Oscar",6,3,2015,5,"13:50:00",1,"sol",20,NA,"suave",NA,"Cistus","ladanifer","B","Hymenoptera","focal",NA,"not_captured","Andrena","sp",NA,"male",NA,NA,1,NA,"Cistus ladanifer","B"
"84","Andrena sp","Pino_del_cuervo","Oscar",6,3,2015,5,"13:50:00",1,"sol",20,NA,"suave",NA,"Ulex","australis","B","Hymenoptera","focal",NA,"not_captured","Andrena","sp",NA,"female",NA,NA,1,NA,"Ulex australis","B"
"85","Andrena tenuistriata","Convento_de_la_luz","Oscar",13,3,2015,5,"12:30:00",2,"sol",21,32,"sin_viento",NA,"Teucrium","fruticans","A","Hymenoptera","focal",NA,"BF45","Andrena","tenuistriata",NA,"male",NA,NA,1,140,"Teucrium fruticans","A"
"86","Andrena tenuistriata","Convento_de_la_luz","Oscar",13,3,2015,5,"12:30:00",2,"sol",21,32,"sin_viento",NA,"Teucrium","fruticans","B","Hymenoptera","focal",NA,"BF56","Andrena","tenuistriata",NA,"male",NA,NA,1,34,"Teucrium fruticans","B"
"87","Andrena thoracica","Convento_de_la_luz","Oscar",13,3,2015,5,"12:30:00",2,"sol",21,32,"sin_viento",NA,"Teucrium","fruticans","B","Hymenoptera","focal",NA,"BF279","Andrena","thoracica",NA,"female",NA,NA,1,34,"Teucrium fruticans","B"
"88","Andrena thoracica","Niebla","Curro",27,4,2018,3,"16:30:00",6,"sol_y_nubes",24,37,"suave",NA,"Cistus","ladanifer","CLA","Hymenoptera","focal",NA,NA,"Andrena","thoracica",NA,"female",NA,NA,4,12,"Cistus ladanifer","A"
"89","Andrena villipes","Niebla","Mary",6,4,2017,3,"10:00:00",4,"sol",19.6,45,"suave",NA,"Cistus","crispus","CCA","Hymenoptera","focal",NA,"BF1064","Andrena","villipes",NA,"male",NA,NA,3,NA,"Cistus crispus","A"
"90","Anthaxia sp","Esparragal","Oscar",3,3,2016,5,"15:05:00",1,"sol",22,38,"suave",NA,"Halimium","calycinum","A","Coleoptera","focal",NA,"no_captured","Anthaxia","sp",NA,"unknown",NA,NA,1,18,"Halimium calycinum","A"
"91","Anthaxia sp","Pino_del_cuervo","Oscar",6,3,2015,5,"13:50:00",1,"sol",20,NA,"suave",NA,"Halimium","calycinum","A","Coleoptera","focal",NA,"BF529","Anthaxia","sp",NA,"unknown",NA,NA,1,NA,"Halimium calycinum","A"
"92","Anthaxia sp","La_rocina","Oscar",5,3,2015,5,"12:00:00",1,"sol",15,NA,"fuerte",NA,"Halimium","calycinum","A","Coleoptera","focal",NA,"BF528","Anthaxia","sp",NA,"unknown",NA,NA,1,4,"Halimium calycinum","A"
"93","Anthaxia sp","Convento_de_la_luz","Oscar",6,3,2015,5,"12:05:00",1,"sol",15,NA,"suave",NA,"Cistus","salviifolius","B","Coleoptera","focal",NA,"not_captured","Anthaxia","sp",NA,"unknown",NA,NA,1,NA,"Cistus salviifolius","B"
"94","Anthaxia sp","Pinares_de_hinojos","Oscar",30,3,2015,5,"12:00:00",3,"sol",25,30,"suave",NA,"Cistus","salviifolius","A","Coleoptera","focal",NA,"BF526","Anthaxia","sp",NA,"unknown",NA,NA,1,11,"Cistus salviifolius","A"
"95","Anthidiellum strigatum","La_rocina","Curro",29,4,2019,3,"16:00:00",6,"sol",30,23,"suave",NA,"Cistus","libanotis","A","Hymenoptera","focal",NA,"PERDIDO","Anthidiellum","strigatum",NA,"male",NA,NA,3,120,"Cistus libanotis","A"
"96","Anthidiellum strigatum","El_pozo","Curro",15,5,2019,3,"15:30:00",8,"sol",32,30,"moderado",NA,"Cistus","crispus","C","Hymenoptera","focal",NA,NA,"Anthidiellum","strigatum",NA,"male",NA,NA,1,26,"Cistus crispus","C"
"97","Anthidium septemdentatum","Aznalcazar","Oscar",28,4,2015,5,"10:35:00",5,"sol",18,46,"sin_viento",NA,"Cistus","crispus","B","Hymenoptera","focal",NA,"not_captured","Anthidium","septemdentatum",NA,"female",NA,NA,1,2,"Cistus crispus","B"
"98","Anthophora aestivalis","Aznalcazar","Curro",6,4,2018,3,"10:30:00",5,"sol",17,56,"suave",NA,"Teucrium","fruticans","TFC","Hymenoptera","focal",NA,NA,"Anthophora","aestivalis",NA,"female",NA,NA,12,55,"Teucrium fruticans","C"
"99","Anthophora aestivalis","Aznalcazar","Curro",22,2,2019,3,"11:00:00",2,"sol",18,50,"suave",NA,"Asphodelus","fistulosus","A","Hymenoptera","focal",NA,NA,"Anthophora","aestivalis",NA,"male",NA,NA,2,9,"Asphodelus fistulosus","A"
"100","Anthophora aestivalis","Villamanrique_este","Curro",11,3,2019,3,"14:30:00",3,"sol",27.5,32,"moderado",NA,"Salvia","rosmarinus","C","Hymenoptera","focal",NA,NA,"Anthophora","aestivalis",NA,"male",NA,NA,3,500,"Salvia rosmarinus","C"
"101","Anthophora aestivalis","Pino_del_cuervo","Patrick & Crona",21,2,2018,3,"14:50:00",2,"sol",NA,NA,"moderado",NA,"Salvia","rosmarinus","ROB","Hymenoptera","focal",NA,NA,"Anthophora","aestivalis",NA,"unknown",NA,NA,5,150,"Salvia rosmarinus","B"
"102","Anthophora aestivalis","Aznalcazar","Curro",22,3,2018,3,"10:00:00",4,"sol",13,33,"sin_viento",NA,"Teucrium","fruticans","TFC","Hymenoptera","focal",NA,NA,"Anthophora","aestivalis",NA,"male",NA,NA,5,60,"Teucrium fruticans","C"
"103","Anthophora aestivalis","Aznalcazar","Curro",6,4,2018,3,"10:30:00",5,"sol",17,56,"suave",NA,"Teucrium","fruticans","TFA","Hymenoptera","focal",NA,NA,"Anthophora","aestivalis",NA,"female",NA,NA,13,200,"Teucrium fruticans","A"
