"","Year","Site_ID","Plant_sp","plant_id","richness08","richness","Coleop_freq","Dip_freq","Hym_freq","Frequency","Fruit_proportion","seed_number","Seed_weight"
"58",2018,"Aznalcazar","Lavandula pedunculata","D",3,3,0,0,62,62,0.764227642276423,1.66666666666667,0.00108333333333333
"59",2015,"Aznalcazar","Lavandula stoechas","A",2,2,0,0,2,2,0,0,0
"60",2015,"Aznalcazar","Lavandula stoechas","B",2,2,0,0,2,2,0,0,0
"61",2015,"Aznalcazar","Lavandula stoechas","C",2,2,0,0,4,4,0,0,0
"62",2017,"Aznalcazar","Lavandula stoechas","B",2,2,0,0,10,10,0,0,0
"63",2015,"Aznalcazar","Rosmarinus officinalis","A",2,2,0,0,2,2,0,0,0
"64",2015,"Aznalcazar","Rosmarinus officinalis","B",1,1,0,0,2,2,0,0,0
"65",2016,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,1,1,0,0,0
"66",2016,"Aznalcazar","Rosmarinus officinalis","B",2,2,0,0,8,8,0,0,0
"67",2017,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,41,41,0,0,0
"68",2017,"Aznalcazar","Rosmarinus officinalis","B",2,2,0,1,168,169,0,2.11111111111111,0.000488888888888889
"69",2017,"Aznalcazar","Rosmarinus officinalis","C",1,1,0,0,16,16,0,2.16666666666667,0.000493333333333333
"70",2018,"Aznalcazar","Rosmarinus officinalis","A",1,1,0,0,36,36,0,0,0
"71",2018,"Aznalcazar","Rosmarinus officinalis","B",2,2,0,0,92,92,0,0,0
"72",2018,"Aznalcazar","Rosmarinus officinalis","C",2,2,0,2,52,54,0,0,0
"73",2018,"Aznalcazar","Rosmarinus officinalis","D",1,1,0,0,75,75,0,0,0
"74",2018,"Aznalcazar","Rosmarinus officinalis","E",2,2,0,0,37,37,0,0,0
"75",2015,"Bonares","Cistus crispus","A",0,0,0,0,0,0,0.590151515151515,27,0.015318
"76",2015,"Bonares","Cistus crispus","B",0,0,0,0,0,0,0.555555555555556,25.375,0.00688875
"77",2016,"Bonares","Cistus crispus","A",0,0,0,0,0,0,0.8,27.3333333333333,0.0147466666666667
"78",2016,"Bonares","Cistus crispus","B",0,0,0,0,0,0,0.428571428571429,22.6666666666667,0.01291
"79",2017,"Bonares","Cistus crispus","A",0,0,0,0,0,0,0.5,13,0.00899
"80",2017,"Bonares","Cistus crispus","B",0,0,0,0,0,0,0,0,0
"81",2018,"Bonares","Cistus crispus","A",3,3,0,0,25,25,0.909090909090909,42.3333333333333,0.0202533333333333
"82",2018,"Bonares","Cistus crispus","B",3,3,1,0,22,23,1,29,0.01384
"83",2018,"Bonares","Cistus crispus","C",3,3,0,0,13,13,1,36,0.0199166666666667
"84",2018,"Bonares","Cistus crispus","D",1,1,0,0,2,2,1,47.6666666666667,0.0251833333333333
"85",2015,"Bonares","Cistus ladanifer","A",2,2,0,0,2,2,0.888888888888889,287.666666666667,0.0795266666666667
"86",2015,"Bonares","Cistus ladanifer","B",1,1,0,0,1,1,1,213,0.050955
"87",2015,"Bonares","Cistus ladanifer","C",1,1,0,0,3,3,1,269.666666666667,0.06537
"88",2015,"Bonares","Cistus ladanifer","D",0,0,0,0,0,0,1,267.5,0.070365
"89",2016,"Bonares","Cistus ladanifer","A",0,0,0,0,0,0,0,68,0.01848
"90",2017,"Bonares","Cistus ladanifer","A",0,0,0,0,0,0,1,494.333333333333,0.11553
"91",2017,"Bonares","Cistus ladanifer","B",0,0,0,0,0,0,1,519.5,0.16719
"92",2018,"Bonares","Cistus ladanifer","A",1,1,2,0,0,2,1,499.5,0.1312
"93",2018,"Bonares","Cistus ladanifer","B",2,2,3,0,3,6,1,515,0.13741
"94",2018,"Bonares","Cistus ladanifer","C",1,1,15,0,0,15,1,505,0.134285
"95",2018,"Bonares","Cistus ladanifer","D",0,0,0,0,0,0,1,454,0.128155
"96",2015,"Bonares","Cistus salviifolius","A",2,2,0,1,2,3,0.925925925925926,60,0.0720366666666667
"97",2015,"Bonares","Cistus salviifolius","B",2,2,0,0,3,3,0.761904761904762,40.6,0.033884
"98",2015,"Bonares","Cistus salviifolius","C",4,4,1,0,3,4,1,57.6666666666667,0.0551433333333333
"99",2016,"Bonares","Cistus salviifolius","A",0,1,0,0,1,1,1,7,0.01433
"100",2016,"Bonares","Cistus salviifolius","B",0,0,0,0,0,0,1,32,0.03795
"101",2017,"Bonares","Cistus salviifolius","A",4,4,0,0,5,5,1,46,0.0582533333333333
"102",2017,"Bonares","Cistus salviifolius","B",3,3,1,1,1,3,1,49,0.0598733333333333
"103",2018,"Bonares","Cistus salviifolius","A",1,1,7,0,0,7,0,45,0.03135
"104",2018,"Bonares","Cistus salviifolius","B",1,1,2,0,0,2,1,54,0.05799
"105",2018,"Bonares","Cistus salviifolius","C",2,2,3,0,3,6,1,42.6666666666667,0.04926
"106",2018,"Bonares","Cistus salviifolius","D",1,1,0,0,4,4,1,63,0.0539766666666667
