"Year","Site_ID","Plant_gen_sp","plant_id","Fruit_Yes","Fruit_No","Fruit_preyed","Fruit_dispersed","fruit_formado","fruit_total","fruit_proportion","Seeds","Seed_weight","Flower_abundance","freq_total","n_round","time_obs","freq_min","visitatio_rate","S_total"
"2015","Pinares_de_hinojos","Cistus salviifolius","A",12,3,0,8,20,23,0.869565217391304,37.5,0.053585,8.66666666666667,2,3,5,0.133333333333333,0.0153846153846154,2
"2015","Pinares_de_hinojos","Cistus salviifolius","B",13,0,0,2,15,15,1,31.6,0.036584,12,11,4,5,0.55,0.0458333333333333,3
"2016","Pinares_de_hinojos","Cistus salviifolius","A",2,0,0,0,2,2,1,38.5,0.047415,16,3,2,5,0.3,0.01875,1
"2016","Pinares_de_hinojos","Cistus salviifolius","B",2,0,0,0,2,2,1,24,0.026485,21,0,2,5,0,0,0
"2018","Pinares_de_hinojos","Cistus salviifolius","A",2,0,1,0,3,3,1,23.5,0.034745,12,4,1,3,1.33333333333333,0.111111111111111,1
"2018","Pinares_de_hinojos","Cistus salviifolius","B",2,0,1,0,3,3,1,23,0.03458,10,3,1,3,1,0.1,1
"2017","Pinares_de_hinojos","Halimium halimifolium","B",9,0,0,0,9,9,1,33,0.01264,2,1,1,3,0.333333333333333,0.166666666666667,1
"2018","Pinares_de_hinojos","Halimium halimifolium","A",4,3,1,0,5,8,0.625,41.3333333333333,0.01804,13,5,3,3,0.555555555555556,0.0427350427350427,1
"2018","Pinares_de_hinojos","Halimium halimifolium","B",2,3,0,0,2,5,0.4,35,0.01393,26.5,7,2,3,1.16666666666667,0.0440251572327044,4
"2018","Pinares_de_hinojos","Halimium halimifolium","C",5,2,2,0,7,9,0.777777777777778,19.3333333333333,0.00918,18.8333333333333,9,2,3,1.5,0.079646017699115,5
"2018","Pinares_de_hinojos","Halimium halimifolium","D",2,2,0,0,2,4,0.5,18.5,0.00847,33,1,1,3,0.333333333333333,0.0101010101010101,1
"2015","Pino_del_cuervo","Asphodelus fistulosus","A",18,47,4,0,22,69,0.318840579710145,6,0.0120308571428571,16,5,2,5,0.5,0.03125,4
"2015","Pino_del_cuervo","Asphodelus fistulosus","B",3,36,0,0,3,39,0.0769230769230769,6,0,20.25,6,2,5,0.6,0.0296296296296296,4
"2016","Pino_del_cuervo","Cistus crispus","A",6,0,2,0,8,8,1,21.6666666666667,0.0121833333333333,6.5,6,2,5,0.6,0.0923076923076923,2
"2016","Pino_del_cuervo","Cistus crispus","B",6,4,0,0,6,10,0.6,36.3333333333333,0.0168666666666667,6,6,2,5,0.6,0.1,2
"2018","Pino_del_cuervo","Cistus crispus","A",8,0,1,0,9,9,1,44,0.0241666666666667,22.25,19,4,3,1.58333333333333,0.0711610486891386,3
"2018","Pino_del_cuervo","Cistus crispus","B",5,2,0,0,5,7,0.714285714285714,29.6666666666667,0.0144866666666667,11,5,2,3,0.833333333333333,0.0757575757575758,2
"2018","Pino_del_cuervo","Cistus crispus","C",3,1,0,1,4,5,0.8,43.6666666666667,0.0229733333333333,4,2,1,3,0.666666666666667,0.166666666666667,1
"2018","Pino_del_cuervo","Cistus crispus","D",2,0,1,0,3,3,1,40.3333333333333,0.0177333333333333,12,2,1,3,0.666666666666667,0.0555555555555556,1
"2019","Pino_del_cuervo","Cistus crispus","B",3,4,4,0,7,11,0.636363636363636,35.6666666666667,0.0121,28,25,2,3,4.16666666666667,0.148809523809524,1
"2019","Pino_del_cuervo","Cistus crispus","C",5,1,0,0,5,6,0.833333333333333,27,0.0114166666666667,22.8888888888889,40,3,3,4.44444444444444,0.194174757281553,5
"2015","Pino_del_cuervo","Cistus ladanifer","A",9,1,2,0,11,12,0.916666666666667,348.2,0.114244,2,1,6,5,0.0333333333333333,0.0166666666666667,1
"2015","Pino_del_cuervo","Cistus ladanifer","B",10,0,6,0,16,16,1,360.666666666667,0.131103333333333,4,3,6,5,0.1,0.025,3
"2015","Pino_del_cuervo","Cistus ladanifer","C",8,1,2,1,11,12,0.916666666666667,308,0.113835,2,1,6,5,0.0333333333333333,0.0166666666666667,1
"2016","Pino_del_cuervo","Cistus ladanifer","A",1,0,0,0,1,1,1,929,0.27028,1.33333333333333,1,5,5,0.04,0.03,1
"2016","Pino_del_cuervo","Cistus ladanifer","B",0,0,1,0,1,1,1,352,0.13131,2.25,0,5,5,0,0,0
"2017","Pino_del_cuervo","Cistus ladanifer","A",1,0,1,0,2,2,1,481.5,0.141975,2.5,2,2,3,0.333333333333333,0.133333333333333,2
"2017","Pino_del_cuervo","Cistus ladanifer","B",3,0,2,0,5,5,1,601.5,0.22492,1,2,1,3,0.666666666666667,0.666666666666667,2
"2019","Pino_del_cuervo","Cistus ladanifer","A",2,0,0,0,2,2,1,295.5,0.11339,21,5,1,3,1.66666666666667,0.0793650793650794,1
"2019","Pino_del_cuervo","Cistus ladanifer","B",2,0,0,0,2,2,1,213.5,0.094445,23,1,1,3,0.333333333333333,0.0144927536231884,1
"2016","Pino_del_cuervo","Cistus salviifolius","A",0,0,1,0,1,1,1,15,0.01065,3,1,3,5,0.0666666666666667,0.0222222222222222,1
"2017","Pino_del_cuervo","Cistus salviifolius","A",2,1,3,0,5,6,0.833333333333333,52,0.050335,10.5,2,2,3,0.333333333333333,0.0317460317460317,2
"2015","Pino_del_cuervo","Halimium calycinum","A",5,2,0,4,9,11,0.818181818181818,4,0.00366,24.5,2,5,5,0.08,0.00326530612244898,2
"2015","Pino_del_cuervo","Halimium calycinum","B",6,8,0,1,7,15,0.466666666666667,3.33333333333333,0.00306833333333333,11,1,5,5,0.04,0.00363636363636364,1
"2018","Pino_del_cuervo","Halimium halimifolium","A",2,0,0,0,2,2,1,24.5,0.01579,14,6,1,3,2,0.142857142857143,2
"2018","Pino_del_cuervo","Halimium halimifolium","B",2,1,0,0,2,3,0.666666666666667,14,0.00244,16,3,1,3,1,0.0625,1
"2018","Pino_del_cuervo","Halimium halimifolium","C",4,0,0,0,4,4,1,26,0.0146333333333333,97,9,1,3,3,0.0309278350515464,2
"2016","Pino_del_cuervo","Lavandula stoechas","A",125,6,16,0,141,147,0.959183673469388,3.5,0.000415,82.3333333333333,3,4,5,0.15,0.00182186234817814,1
"2016","Pino_del_cuervo","Lavandula stoechas","B",87,10,11,0,98,108,0.907407407407407,2.33333333333333,0.00073,12,25,3,5,1.66666666666667,0.138888888888889,1
"2018","Pino_del_cuervo","Lavandula stoechas","B",41,17,29,0,70,87,0.804597701149425,2.33333333333333,0.00117,620,5,1,3,1.66666666666667,0.00268817204301075,1
"2017","Urbanizaciones","Cistus crispus","A",1,2,2,0,3,5,0.6,24,0.012935,20,3,1,3,1,0.05,2
"2017","Urbanizaciones","Cistus crispus","B",3,1,1,0,4,5,0.8,28,0.0127966666666667,13.75,6,3,3,0.666666666666667,0.0484848484848485,3
"2018","Urbanizaciones","Cistus crispus","A",7,0,0,0,7,7,1,31.6666666666667,0.01852,23.4285714285714,38,4,3,3.16666666666667,0.135162601626016,5
"2018","Urbanizaciones","Cistus crispus","B",0,7,2,0,2,9,0.222222222222222,19,0.00982,29.6,51,4,3,4.25,0.143581081081081,7
"2018","Urbanizaciones","Cistus crispus","C",5,4,0,0,5,9,0.555555555555556,16.3333333333333,0.0103733333333333,32.5714285714286,50,3,3,5.55555555555556,0.17056530214425,4
"2019","Urbanizaciones","Cistus crispus","A",3,4,0,0,3,7,0.428571428571429,20,0.00486,90,14,1,3,4.66666666666667,0.0518518518518519,2
"2015","Urbanizaciones","Cistus salviifolius","A",5,2,1,0,6,8,0.75,48.5,0.04298,8,10,3,5,0.666666666666667,0.0833333333333333,1
"2015","Urbanizaciones","Cistus salviifolius","B",18,0,3,2,23,23,1,46,0.05639,6.5,1,3,5,0.0666666666666667,0.0102564102564103,1
"2016","Urbanizaciones","Cistus salviifolius","A",2,0,1,0,3,3,1,44,0.04506,9,1,2,5,0.1,0.0111111111111111,1
"2018","Urbanizaciones","Cistus salviifolius","A",4,0,0,0,4,4,1,45,0.0546233333333333,19,5,1,3,1.66666666666667,0.087719298245614,2
"2018","Urbanizaciones","Cistus salviifolius","C",1,0,0,0,1,1,1,51,0.054785,2,1,1,3,0.333333333333333,0.166666666666667,1
"2018","Urbanizaciones","Cistus salviifolius","D",4,0,0,0,4,4,1,32.5,0.03641,4,1,1,3,0.333333333333333,0.0833333333333333,1
"2019","Urbanizaciones","Cistus salviifolius","A",0,0,3,0,3,3,1,34.6666666666667,0.0297933333333333,12,3,1,3,1,0.0833333333333333,1
"2019","Urbanizaciones","Cistus salviifolius","B",3,0,0,0,3,3,1,42,0.0397866666666667,5,1,1,3,0.333333333333333,0.0666666666666667,1
"2019","Urbanizaciones","Cistus salviifolius","C",1,0,1,0,2,2,1,37.5,0.03894,16,7,1,3,2.33333333333333,0.145833333333333,3
"2015","Urbanizaciones","Halimium calycinum","A",7,5,0,1,8,13,0.615384615384615,2.85714285714286,0.00244571428571429,46.5,1,4,5,0.05,0.0010752688172043,1
"2016","Urbanizaciones","Halimium calycinum","A",0,0,0,1,1,1,1,3,0.00175,17,1,3,5,0.0666666666666667,0.00392156862745098,0
"2019","Urbanizaciones","Halimium calycinum","A",4,0,0,0,4,4,1,3,0.0123966666666667,18,2,1,3,0.666666666666667,0.037037037037037,1
"2019","Urbanizaciones","Halimium calycinum","B",3,0,1,0,4,4,1,1.66666666666667,0.00713,18,1,1,3,0.333333333333333,0.0185185185185185,1
"2019","Urbanizaciones","Halimium calycinum","C",4,0,1,0,5,5,1,3,0.0131466666666667,32,3,1,3,1,0.03125,1
"2018","Urbanizaciones","Halimium halimifolium","A",2,1,0,0,2,3,0.666666666666667,23.5,0.05513,66,4,2,3,0.666666666666667,0.0101010101010101,2
"2018","Urbanizaciones","Halimium halimifolium","B",4,0,0,0,4,4,1,12.3333333333333,0.00811,9.5,5,2,3,0.833333333333333,0.087719298245614,2
"2018","Urbanizaciones","Halimium halimifolium","C",4,1,1,0,5,6,0.833333333333333,30.3333333333333,0.0154833333333333,21,1,1,3,0.333333333333333,0.0158730158730159,1
"2019","Urbanizaciones","Halimium halimifolium","B",4,0,0,0,4,4,1,12.3333333333333,0.00653666666666667,176.2,11,2,3,1.83333333333333,0.0104048429814605,4
"2019","Urbanizaciones","Halimium halimifolium","C",4,1,0,0,4,5,0.8,3.66666666666667,0.00173333333333333,74,9,2,3,1.5,0.0202702702702703,3
"2016","Urbanizaciones","Lavandula pedunculata","A",67,6,3,0,70,76,0.921052631578947,3.5,0.000525,83.5,18,3,5,1.2,0.0143712574850299,4
"2018","Urbanizaciones","Lavandula pedunculata","A",95,29,9,0,104,133,0.781954887218045,2,0.00123,456.666666666667,26,3,3,2.88888888888889,0.00632603406326034,1
"2018","Urbanizaciones","Lavandula pedunculata","B",147,12,0,0,147,159,0.924528301886792,3,0.00131333333333333,885,43,3,3,4.77777777777778,0.00539861895794099,4
"2018","Urbanizaciones","Lavandula pedunculata","D",86,28,70,0,156,184,0.847826086956522,3.33333333333333,0.00176666666666667,300,14,1,3,4.66666666666667,0.0155555555555556,2
"2019","Urbanizaciones","Lavandula pedunculata","A",87,14,28,0,115,129,0.891472868217054,2,0.00098,76.6666666666667,16,2,3,2.66666666666667,0.0347826086956522,2
"2019","Urbanizaciones","Lavandula pedunculata","B",42,26,47,0,89,115,0.773913043478261,3.33333333333333,0.00178333333333333,150,17,1,3,5.66666666666667,0.0377777777777778,1
"2019","Urbanizaciones","Lavandula pedunculata","C",25,17,51,0,76,93,0.817204301075269,2.66666666666667,0.00181333333333333,75,10,2,3,1.66666666666667,0.0222222222222222,1
"2015","Urbanizaciones","Lavandula stoechas","A",360,131,32,0,392,523,0.749521988527725,1.6,0.000446,51.3333333333333,9,4,5,0.45,0.00876623376623377,5
"2015","Urbanizaciones","Lavandula stoechas","B",370,128,7,0,377,505,0.746534653465347,2,0.000682,39,2,3,5,0.133333333333333,0.00341880341880342,2
"2016","Urbanizaciones","Lavandula stoechas","B",123,5,3,0,126,131,0.961832061068702,1.33333333333333,0.000383333333333333,34,5,2,5,0.5,0.0147058823529412,2
"2015","Urbanizaciones","Salvia rosmarinus","A",52,2,0,46,98,100,0.98,2,0.0009875,10,2,4,5,0.1,0.01,2
"2015","Urbanizaciones","Salvia rosmarinus","B",83,5,0,67,150,155,0.967741935483871,2.33333333333333,0.00065,10,2,4,5,0.1,0.01,2
"2015","Urbanizaciones","Salvia rosmarinus","C",75,26,0,73,148,174,0.850574712643678,2.5,0.000295,3,2,4,5,0.1,0.0333333333333333,2
"2016","Villamanrique_este","Cistus crispus","A",4,0,0,0,4,4,1,46,0.022775,5,14,3,5,0.933333333333333,0.186666666666667,5
"2017","Villamanrique_este","Cistus crispus","A",3,1,1,0,4,5,0.8,32,0.0161233333333333,18,4,1,3,1.33333333333333,0.0740740740740741,2
"2017","Villamanrique_este","Cistus crispus","B",2,0,0,2,4,4,1,34.3333333333333,0.0160966666666667,15,2,1,3,0.666666666666667,0.0444444444444444,2
"2018","Villamanrique_este","Cistus crispus","A",8,1,0,0,8,9,0.888888888888889,43,0.02419,23,20,1,3,6.66666666666667,0.289855072463768,2
"2018","Villamanrique_este","Cistus crispus","B",6,2,1,0,7,9,0.777777777777778,35.3333333333333,0.0201533333333333,17.5,26,2,3,4.33333333333333,0.247619047619048,2
"2018","Villamanrique_este","Cistus crispus","C",10,0,0,0,10,10,1,32,0.01966,20.4,12,2,3,2,0.0980392156862745,2
"2019","Villamanrique_este","Cistus crispus","A",6,1,0,0,6,7,0.857142857142857,34.6666666666667,0.01916,27.6666666666667,22,4,3,1.83333333333333,0.0662650602409638,3
"2019","Villamanrique_este","Cistus crispus","B",2,1,2,1,5,6,0.833333333333333,41,0.02462,52.4,20,2,3,3.33333333333333,0.0636132315521628,4
"2019","Villamanrique_este","Cistus crispus","C",3,2,0,0,3,5,0.6,31.6666666666667,0.0176866666666667,56.5555555555556,39,3,3,4.33333333333333,0.0766208251473477,3
"2016","Villamanrique_este","Cistus ladanifer","A",2,0,1,2,5,5,1,347.25,0.0925525,0.666666666666667,3,5,5,0.12,0.18,3
"2019","Villamanrique_este","Cistus ladanifer","B",1,0,0,0,1,1,1,899,0.23037,12,24,2,3,4,0.333333333333333,1
"2015","Villamanrique_este","Cistus salviifolius","A",6,3,0,0,6,9,0.666666666666667,33.5,0.0379683333333333,2.66666666666667,6,4,5,0.3,0.1125,3
"2016","Villamanrique_este","Cistus salviifolius","A",3,0,1,0,4,4,1,36.75,0.0338575,2.5,6,3,5,0.4,0.16,4
"2017","Villamanrique_este","Cistus salviifolius","A",1,0,2,0,3,3,1,30,0.0402533333333333,11,11,2,3,1.83333333333333,0.166666666666667,2
"2017","Villamanrique_este","Cistus salviifolius","B",2,0,1,0,3,3,1,62,0.07578,8.5,3,2,3,0.5,0.0588235294117647,2
"2017","Villamanrique_sur","Cistus crispus","A",6,1,1,0,7,8,0.875,47.6666666666667,0.0268266666666667,16.5,5,2,3,0.833333333333333,0.0505050505050505,2
"2017","Villamanrique_sur","Cistus crispus","B",3,0,2,1,6,6,1,36,0.0221266666666667,15,15,1,3,5,0.333333333333333,1
"2018","Villamanrique_sur","Cistus crispus","A",5,0,0,0,5,5,1,31.6666666666667,0.01734,31.5,23,2,3,3.83333333333333,0.121693121693122,4
"2018","Villamanrique_sur","Cistus crispus","B",5,1,0,0,5,6,0.833333333333333,31,0.01748,19.8,26,3,3,2.88888888888889,0.145903479236813,4
"2018","Villamanrique_sur","Cistus crispus","C",6,2,0,0,6,8,0.75,35.6666666666667,0.0184066666666667,12.8333333333333,24,3,3,2.66666666666667,0.207792207792208,5
"2018","Villamanrique_sur","Cistus crispus","D",2,1,5,0,7,8,0.875,34.5,0.02021,24.5,24,2,3,4,0.163265306122449,4
"2019","Villamanrique_sur","Cistus crispus","B",3,1,0,0,3,4,0.75,21.5,0.011115,37.4,15,3,3,1.66666666666667,0.0445632798573975,4
"2019","Villamanrique_sur","Cistus crispus","C",7,0,0,0,7,7,1,41,0.0194533333333333,22.5,18,2,3,3,0.133333333333333,4
"2015","Villamanrique_sur","Cistus ladanifer","A",3,3,1,0,4,7,0.571428571428571,495.5,0.155755,2.5,2,4,5,0.1,0.04,1
"2015","Villamanrique_sur","Cistus ladanifer","B",2,3,1,0,3,6,0.5,368,0.116565,5,4,4,5,0.2,0.04,1
