"Site_ID","Year","Plant_genus","Plant_species","Plant_ID","Fruit_number","Seed_number","Seeds","Fruit_weight","Seed_weight","Notes","Plant_gen_sp"
"Niebla",2015,"Phlomis","purpurea","A3","a","1",2,0.04129,0.00492,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","A3","a","2",NA,NA,0.00502,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","A3","b","1",2,0.03942,0.00446,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","A3","b","2",NA,NA,0.00433,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B1","a","1",3,0.02791,0.00378,"1 aborto","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B1","a","2",NA,NA,0.00374,"1 aborto","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B1","a","3",NA,NA,0.00361,"1 aborto","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B1","b","1",2,0.03079,0.00404,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B1","b","2",NA,NA,0.00409,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B2","a","1",3,0.03244,0.00336,"1 aborto","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B2","a","2",NA,NA,0.00331,"1 aborto","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B2","a","3",NA,NA,0.00302,"1 aborto","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B2","b","1",2,0.03024,0.00377,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B2","b","2",NA,NA,0.00371,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B3","a","1",2,0.0269,0.0034,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Phlomis","purpurea","B3","a","2",NA,NA,0.00343,"2 abortos","Phlomis purpurea"
"Niebla",2015,"Lavandula","pedunculata","B1","a","1",2,0.0032,0.00081,"1 aborto","Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B1","a","2",NA,NA,0.00075,"1 aborto","Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B1","b","1",2,0.003891,0.00082,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B1","b","2",NA,NA,0.00079,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B1","c","1",2,0.003981,0.00065,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B1","c","2",NA,NA,0.00072,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B2","a","1",2,0.00195,0.00042,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B2","a","2",NA,NA,0.00049,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B2","b","1",2,0.00183,0.00037,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B2","b","2",NA,NA,0.00044,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B3","a","1",2,0.00452,0.00108,"1 aborto","Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","B3","a","2",NA,NA,0.00099,"1 aborto","Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C1","a","1",2,0.00431,0.00091,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C1","a","2",NA,NA,0.00084,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C1","b",NA,0,0.00356,0,"Predado","Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C1","c","1",1,0.00275,0.00102,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C2","a","1",2,0.00341,0.00064,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C2","a","2",NA,NA,0.00073,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C3","a","1",2,0.00575,0.00082,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C3","a","2",NA,NA,0.00099,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C3","b","1",1,0.00235,0.00033,NA,"Lavandula pedunculata"
"Niebla",2015,"Lavandula","pedunculata","C3","c","1",1,0.0029,0.00081,NA,"Lavandula pedunculata"
"Bonares",2015,"Ulex","australis","A1","a","1",4,0.07971,0.00419,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","A1","a","2",NA,NA,0.00426,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","A1","a","3",NA,NA,0.00418,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","A1","a","4",NA,NA,0.00402,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","A2","a","1",1,0.04031,0.00546,"4 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","A2","b","1",3,0.08129,0.00513,"2 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","A2","b","2",NA,NA,0.00525,"2 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","A2","b","3",NA,NA,0.0051,"2 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","A2","c","all",6,0.11062,0.02879,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","A2","d","1",3,0.052,0.00421,"3 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","A2","d","2",NA,NA,0.0043,"3 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","A2","d","3",NA,NA,0.00433,"3 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","B1","a","1",2,0.04726,0.00513,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","B1","a","2",NA,NA,0.0052,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","B2","a","1",2,0.03954,0.00546,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","B2","a","2",NA,NA,0.00539,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","B2","b","all",9,0.12677,0.04026,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","C1","a","1",3,0.05356,0.00579,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","C1","a","2",NA,NA,0.00561,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","C1","a","3",NA,NA,0.00574,NA,"Ulex australis"
"Bonares",2015,"Ulex","australis","C1","b","1",1,0.04263,0.00359,"4 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","C1","c","all",6,0.10433,0.02529,"2 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","C1","d","1",3,0.09671,0.00591,"3 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","C1","d","2",NA,NA,0.00599,"3 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","C1","d","3",NA,NA,0.00586,"3 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","a","1",1,0.08742,0.00518,"5 abortos","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","b","1",4,0.10235,0.00643,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","b","2",NA,NA,0.00621,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","b","3",NA,NA,0.0063,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","b","4",NA,NA,0.00636,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","c","1",3,0.07333,0.00502,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","c","2",NA,NA,0.00509,"1 aborto","Ulex australis"
"Bonares",2015,"Ulex","australis","C2","c","3",NA,NA,0.00513,"1 aborto","Ulex australis"
"Bonares",2015,"Cistus","salviifolius","A1","a","all",61,0.11243,0.07319,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","A2","a","all",59,0.11954,0.07215,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","A3","a","all",60,0.12599,0.07077,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","B1","a","all",16,0.02917,0.01416,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","B1","b","all",45,0.05028,0.02267,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","B2","a","all",42,0.06927,0.0359,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","B3","a","all",56,0.09864,0.06162,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","B3","b","all",44,0.05402,0.03507,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","C1","a","all",52,0.07714,0.04513,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","C1","b","all",46,0.09173,0.03969,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","C2","a","all",53,0.09222,0.04728,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","C2","b","all",45,0.07198,0.04316,NA,"Cistus salviifolius"
"Bonares",2015,"Cistus","salviifolius","C3","a","all",69,0.09969,0.0608,NA,"Cistus salviifolius"
